iteracion,margen,w_reward_usado,w_reward_siguiente_propuesto
1,5.0416761000239205,"[0.14658179020001053, 0.08029881707866282, 0.7103319987507782, 0.6662216391906716, 0.07104339488739714, -0.03924632555226325, -0.08480852440075588, 0.0993133120202844]","[0.13405102804873018, 0.09300271559811461, 0.7067000936830972, 0.6769889505513531, 0.07212516830521896, -0.021814527953689298, -0.09779995140114088, -0.01997526377230874]"
2,0.7916988339033605,"[0.13405102804873018, 0.09300271559811461, 0.7067000936830972, 0.6769889505513531, 0.07212516830521896, -0.021814527953689298, -0.09779995140114088, -0.01997526377230874]","[0.24370530797576592, 0.16861799091150953, 0.5815487160453212, -0.4634809598736199, 0.05427305043892863, -0.4022633549828808, -0.07623664472103604, 0.43426810836071317]"
3,0.7277211376889436,"[0.24370530797576592, 0.16861799091150953, 0.5815487160453212, -0.4634809598736199, 0.05427305043892863, -0.4022633549828808, -0.07623664472103604, 0.43426810836071317]","[0.3156357269283976, 0.19759678046594537, 0.6343567749503463, -0.0803360635176312, 0.05732513117112978, -0.4354930419287139, -0.07273609404472944, 0.5042185038227158]"
4,0.7216653689147866,"[0.3156357269283976, 0.19759678046594537, 0.6343567749503463, -0.0803360635176312, 0.05732513117112978, -0.4354930419287139, -0.07273609404472944, 0.5042185038227158]","[0.3008192280314708, 0.19436689529664145, 0.623093825193282, -0.2069199238370204, 0.05850933811601175, -0.43946347667283164, -0.07359616385822697, 0.48856897862125376]"
5,0.7151740687471548,"[0.3008192280314708, 0.19436689529664145, 0.623093825193282, -0.2069199238370204, 0.05850933811601175, -0.43946347667283164, -0.07359616385822697, 0.48856897862125376]","[0.3188160724980184, 0.19800817815118515, 0.6303425616588186, -0.07501335058274278, 0.0603035968817604, -0.4423027596975571, -0.07041241342675601, 0.5019603196444974]"
6,0.7132736545494723,"[0.3188160724980184, 0.19800817815118515, 0.6303425616588186, -0.07501335058274278, 0.0603035968817604, -0.4423027596975571, -0.07041241342675601, 0.5019603196444974]","[0.3148238216920077, 0.19738200923547192, 0.6231750024278601, -0.14720650127572726, 0.058937835139941976, -0.44391907853986445, -0.06919437413827874, 0.49657203700847424]"
7,0.7050934786292269,"[0.3148238216920077, 0.19738200923547192, 0.6231750024278601, -0.14720650127572726, 0.058937835139941976, -0.44391907853986445, -0.06919437413827874, 0.49657203700847424]","[0.31725313801438404, 0.20252870673370485, 0.626555368585494, 0.0036543113061153192, 0.05839700923644164, -0.4486740139854297, -0.06600663468282539, 0.5066281951646845]"
8,0.5825557629863605,"[0.31725313801438404, 0.20252870673370485, 0.626555368585494, 0.0036543113061153192, 0.05839700923644164, -0.4486740139854297, -0.06600663468282539, 0.5066281951646845]","[0.2852506455374025, 0.22869133847903397, 0.34716869155275454, -0.4999923152934397, 0.025160174847393624, -0.5433577252336896, -0.05381474390798318, 0.4439000411617698]"
9,0.5440588044494331,"[0.2852506455374025, 0.22869133847903397, 0.34716869155275454, -0.4999923152934397, 0.025160174847393624, -0.5433577252336896, -0.05381474390798318, 0.4439000411617698]","[0.393467903885666, 0.2509877711070225, 0.38569208664643906, -0.16562930331231374, 0.02691043328005907, -0.5796080373013813, -0.04730342723399151, 0.5168069591188811]"
10,0.5387167510082076,"[0.393467903885666, 0.2509877711070225, 0.38569208664643906, -0.16562930331231374, 0.02691043328005907, -0.5796080373013813, -0.04730342723399151, 0.5168069591188811]","[0.39997336613544365, 0.2572016888983065, 0.38959641317306054, -0.026266655498322633, 0.026694974063430833, -0.5848196267726582, -0.044514860049071014, 0.5260086548661534]"
11,0.5348846280038081,"[0.39997336613544365, 0.2572016888983065, 0.38959641317306054, -0.026266655498322633, 0.026694974063430833, -0.5848196267726582, -0.044514860049071014, 0.5260086548661534]","[0.3912527412205011, 0.25809550425347194, 0.37885516707516814, -0.14414430572000017, 0.025536957495892125, -0.5895115585231826, -0.046524158342044895, 0.5154208702960928]"
12,0.5305389262668686,"[0.3912527412205011, 0.25809550425347194, 0.37885516707516814, -0.14414430572000017, 0.025536957495892125, -0.5895115585231826, -0.046524158342044895, 0.5154208702960928]","[0.3940278980162198, 0.26211017997375163, 0.3803812593368118, -0.017234423362162698, 0.02539945382975769, -0.5939843780115348, -0.04429007246773415, 0.5250039592576375]"
13,0.5027607129728446,"[0.3940278980162198, 0.26211017997375163, 0.3803812593368118, -0.017234423362162698, 0.02539945382975769, -0.5939843780115348, -0.04429007246773415, 0.5250039592576375]","[0.3428865702814599, 0.26940577971568047, 0.2733167083178057, -0.3123632856817688, 0.007878802751456696, -0.6330304673495419, -0.03549495944601462, 0.48531117874327273]"
14,0.479090431400254,"[0.3428865702814599, 0.26940577971568047, 0.2733167083178057, -0.3123632856817688, 0.007878802751456696, -0.6330304673495419, -0.03549495944601462, 0.48531117874327273]","[0.3601580924057469, 0.28699462130940245, 0.2838942099612659, -0.009865280723567248, 0.00933742614902721, -0.6621034630305107, -0.028762270838013457, 0.5176210371389698]"
15,0.45183801947621416,"[0.3601580924057469, 0.28699462130940245, 0.2838942099612659, -0.009865280723567248, 0.00933742614902721, -0.6621034630305107, -0.028762270838013457, 0.5176210371389698]","[0.31224883020557875, 0.29167739205640036, 0.12296077371487618, -0.2933305976735244, -0.008277094552399795, -0.7070821095506536, -0.02260581961843168, 0.4644546614778209]"
