ep,step,outcome,mision_pct,severidad,perdida_pct,delta_medio,A_x,A_y,B_x,B_y
147,29356,aterrizo,0.0,0.962,4,0.7195,-1.831,0.458,-1.274,1.332
713,142324,aterrizo,0.0,0.882,12,0.8769,1.991,-0.852,0.884,0.794
755,151432,aterrizo,0.0,0.867,13,0.8928,1.632,-1.679,0.855,-0.247
878,176188,aterrizo,0.0,0.832,17,0.9164,1.133,-1.796,-0.216,0.820
1162,231200,aterrizo,0.0,0.857,14,0.9126,1.978,-1.859,-1.244,-1.390
1444,282252,aterrizo,0.0,0.708,29,0.7828,-1.513,-0.187,1.165,-1.982
1586,309084,aterrizo,0.0,0.837,16,0.9377,-1.148,-0.607,0.343,0.796
1628,317096,aterrizo,0.0,0.737,26,0.9491,0.500,-0.271,-0.691,0.732
2033,392064,aterrizo,0.0,0.673,33,0.9640,-0.517,-0.125,-1.483,-1.286
2154,415932,aterrizo,0.0,0.846,15,0.9734,-1.383,-0.507,0.238,0.339
2177,420400,aterrizo,0.0,0.580,42,0.9780,0.680,-1.013,0.933,1.473
2316,447200,aterrizo,0.0,0.895,11,1.0000,1.122,-1.041,-0.069,-1.713
2424,466008,aterrizo,0.0,0.774,23,1.0000,0.898,-1.231,1.364,1.290
