iteracion,margen,w_reward_usado,w_reward_siguiente_propuesto
1,18.143572855142615,"[0.0, 0.0, 0.46275830626023184, 0.1242575299124529, 0.0, 0.8766207585906616, 0.04416856184154591]","[0.0, 0.0, 0.525674758469238, 0.7730814024685226, 0.0, 0.0030710554431775216, 0.35496726903205544]"
2,18.136817249935017,"[0.0, 0.0, 0.525674758469238, 0.7730814024685226, 0.0, 0.0030710554431775216, 0.35496726903205544]","[0.0, 0.0, 0.5060534889807692, 0.7848450940135868, 0.0, 0.0, 0.35767030166508734]"
3,18.135004270307327,"[0.0, 0.0, 0.5060534889807692, 0.7848450940135868, 0.0, 0.0, 0.35767030166508734]","[0.0, 0.0, 0.5220151583395484, 0.7756289525307904, 0.0, 0.0, 0.3548237625353257]"
4,18.134720126329988,"[0.0, 0.0, 0.5220151583395484, 0.7756289525307904, 0.0, 0.0, 0.3548237625353257]","[0.0, 0.0, 0.5162871032612443, 0.7787181735134725, 0.0, 0.0, 0.35643461286181893]"
5,18.134680814262357,"[0.0, 0.0, 0.5162871032612443, 0.7787181735134725, 0.0, 0.0, 0.35643461286181893]","[0.0, 0.0, 0.5137681457049564, 0.7800695096252772, 0.0, 0.0, 0.35711882141924467]"
6,18.13346475197428,"[0.0, 0.0, 0.5137681457049564, 0.7800695096252772, 0.0, 0.0, 0.35711882141924467]","[0.0, 0.0, 0.5272222100688639, 0.7729247929237331, 0.0, 0.0, 0.3530212538841069]"
7,18.126747363088903,"[0.0, 0.0, 0.5272222100688639, 0.7729247929237331, 0.0, 0.0, 0.3530212538841069]","[0.0, 0.0, 0.5579806645748858, 0.74828011806448, 0.0, 0.06540928511504034, 0.35278331634406357]"
8,18.118888655938328,"[0.0, 0.0, 0.5579806645748858, 0.74828011806448, 0.0, 0.06540928511504034, 0.35278331634406357]","[0.0, 0.0, 0.5948927555179578, 0.710807685218008, 0.0, 0.18458865198091667, 0.3267752647112946]"
9,18.11887428037069,"[0.0, 0.0, 0.5948927555179578, 0.710807685218008, 0.0, 0.18458865198091667, 0.3267752647112946]","[0.0, 0.0, 0.5934409011474953, 0.7125090286346107, 0.0, 0.17991909709278853, 0.32831067521591184]"
10,18.075024499064146,"[0.0, 0.0, 0.5934409011474953, 0.7125090286346107, 0.0, 0.17991909709278853, 0.32831067521591184]","[0.0, 0.0, 0.5227494519976242, 0.7757108311382345, 0.0, 0.0, 0.35356147540563987]"
11,18.07458326817427,"[0.0, 0.0, 0.5227494519976242, 0.7757108311382345, 0.0, 0.0, 0.35356147540563987]","[0.0, 0.0, 0.5182609969834073, 0.7790269343040063, 0.0, 0.0, 0.3528775632349924]"
12,18.072556359206317,"[0.0, 0.0, 0.5182609969834073, 0.7790269343040063, 0.0, 0.0, 0.3528775632349924]","[0.0, 0.0, 0.5337930880474391, 0.7700372824965747, 0.0, 0.0, 0.3494388683562108]"
13,18.07173937039505,"[0.0, 0.0, 0.5337930880474391, 0.7700372824965747, 0.0, 0.0, 0.3494388683562108]","[0.0, 0.0, 0.5510919191063387, 0.7597697074691595, 0.0, 0.0, 0.34503288003887456]"
14,18.069580615365005,"[0.0, 0.0, 0.5510919191063387, 0.7597697074691595, 0.0, 0.0, 0.34503288003887456]","[0.0, 0.0, 0.5670482223345823, 0.745556579439788, 0.0, 0.0, 0.35014525614555037]"
15,18.067932908896022,"[0.0, 0.0, 0.5670482223345823, 0.745556579439788, 0.0, 0.0, 0.35014525614555037]","[0.0, 0.0, 0.5529362465842048, 0.755114036365757, 0.0, 0.0, 0.3522276242670152]"
