iteracion,margen,duracion_media_pasos,w_reward_usado,w_reward_siguiente_propuesto
1,16.438820474621014,113.5,"[0.0, 0.0, 0.0, 0.0, 0.5064492899931612, 0.0, 0.8622697470428977]","[0.0, 0.0, 0.12175115098516784, 0.0, 0.0, 0.0, 0.9925606567025448]"
2,16.37399569840225,141.5,"[0.0, 0.0, 0.12175115098516784, 0.0, 0.0, 0.0, 0.9925606567025448]","[0.0, 0.0, 0.24904258513762206, 0.010646406943575113, 0.0, 0.0, 0.9684340167544518]"
3,16.370698640744756,157.6,"[0.0, 0.0, 0.24904258513762206, 0.010646406943575113, 0.0, 0.0, 0.9684340167544518]","[0.0, 0.0, 0.1990269482020208, 0.0, 0.0, 0.0, 0.9799940172722434]"
4,16.361867811248548,176.1,"[0.0, 0.0, 0.1990269482020208, 0.0, 0.0, 0.0, 0.9799940172722434]","[0.0, 0.0, 0.1197648491703559, 0.0, 0.0, 0.0, 0.9928022869147722]"
5,16.358745362850136,182.1,"[0.0, 0.0, 0.1197648491703559, 0.0, 0.0, 0.0, 0.9928022869147722]","[0.0, 0.0, 0.07470276103952839, 0.0, 0.0, 0.0, 0.997205845095721]"
6,16.355963410134756,179.5,"[0.0, 0.0, 0.07470276103952839, 0.0, 0.0, 0.0, 0.997205845095721]","[0.0, 0.0, 0.034210650171179614, 0.0, 0.0, 0.0, 0.9994146443868356]"
7,16.3432644365853,221.6,"[0.0, 0.0, 0.034210650171179614, 0.0, 0.0, 0.0, 0.9994146443868356]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
8,16.317340331370747,199.6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.09101059521057062, 0.010794433180496608, 0.0, 0.0, 0.9957914198122664]"
9,16.31015506569874,175.8,"[0.0, 0.0, 0.09101059521057062, 0.010794433180496608, 0.0, 0.0, 0.9957914198122664]","[0.0, 0.0, 0.14210455056298052, 0.03220490941961922, 0.0, 0.0, 0.9893276204162943]"
10,16.29234340836646,199.9,"[0.0, 0.0, 0.14210455056298052, 0.03220490941961922, 0.0, 0.0, 0.9893276204162943]","[0.0, 0.0, 0.22821074310286096, 0.03900461794559789, 0.0, 0.16988604516782274, 0.9578816357821013]"
11,16.277094807938084,156.3,"[0.0, 0.0, 0.22821074310286096, 0.03900461794559789, 0.0, 0.16988604516782274, 0.9578816357821013]","[0.0, 0.0, 0.16223473391046794, 0.024103399851372772, 0.0, 0.0, 0.9864577625162695]"
12,16.26597625143144,216.3,"[0.0, 0.0, 0.16223473391046794, 0.024103399851372772, 0.0, 0.0, 0.9864577625162695]","[0.0, 0.0, 0.26544807787101776, 0.03653635618019588, 0.0, 0.10874864545163576, 0.9572753756072964]"
13,16.261718154975238,180.8,"[0.0, 0.0, 0.26544807787101776, 0.03653635618019588, 0.0, 0.10874864545163576, 0.9572753756072964]","[0.0, 0.0, 0.3099162151727238, 0.03876698356716387, 0.0, 0.20329033590743614, 0.9279666480454776]"
14,16.02702685547505,179.3,"[0.0, 0.0, 0.3099162151727238, 0.03876698356716387, 0.0, 0.20329033590743614, 0.9279666480454776]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
15,15.95592000225494,183.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.1761959816570104, 0.0, 0.0, 0.0, 0.9843551066804714]"
