iteracion,margen,duracion_media_pasos,w_reward_usado,w_reward_siguiente_propuesto
1,24.564777816519058,119.2,"[0.0, 0.0, 0.0, 0.0, 0.9358642917581714, 0.3162638647293735, 0.15535506196586155]","[0.0, 0.0, 0.44726341252557344, 0.33841582419362215, 0.0, 0.6626756094237858, 0.4962773482903932]"
2,23.32022012292689,133.2,"[0.0, 0.0, 0.44726341252557344, 0.33841582419362215, 0.0, 0.6626756094237858, 0.4962773482903932]","[0.0, 0.0, 0.4090455560096282, 0.35033439626820134, 0.0, 0.0, 0.8425838497741153]"
3,23.320197248800998,132.1,"[0.0, 0.0, 0.4090455560096282, 0.35033439626820134, 0.0, 0.0, 0.8425838497741153]","[0.0, 0.0, 0.40646749870302484, 0.3493602003613782, 0.0, 0.0, 0.8442343412237885]"
4,22.56839193415817,165.9,"[0.0, 0.0, 0.40646749870302484, 0.3493602003613782, 0.0, 0.0, 0.8442343412237885]","[0.0, 0.0, 0.27889566265129456, 0.3452266726451075, 0.0, 0.0, 0.8961226221051912]"
5,22.539760087559678,181.8,"[0.0, 0.0, 0.27889566265129456, 0.3452266726451075, 0.0, 0.0, 0.8961226221051912]","[0.0, 0.0, 0.3317143026150531, 0.344347949947495, 0.0, 0.0, 0.8782881707091167]"
6,22.485718174572334,179.8,"[0.0, 0.0, 0.3317143026150531, 0.344347949947495, 0.0, 0.0, 0.8782881707091167]","[0.0, 0.0, 0.25467097818293505, 0.33606826580804716, 0.0, 0.0, 0.906752895549895]"
7,22.44494360160506,217.3,"[0.0, 0.0, 0.25467097818293505, 0.33606826580804716, 0.0, 0.0, 0.906752895549895]","[0.0, 0.0, 0.22446303381773697, 0.33083453334967244, 0.0, 0.0, 0.91660507198719]"
8,22.360443763011038,223.6,"[0.0, 0.0, 0.22446303381773697, 0.33083453334967244, 0.0, 0.0, 0.91660507198719]","[0.0, 0.0, 0.29703222502189386, 0.3344780092887743, 0.0, 0.0, 0.8943692294577009]"
9,22.24681223384277,207.4,"[0.0, 0.0, 0.29703222502189386, 0.3344780092887743, 0.0, 0.0, 0.8943692294577009]","[0.0, 0.0, 0.4581056563375418, 0.35345042460962967, 0.0, 0.0, 0.8156052997466499]"
10,22.237357285660963,181.3,"[0.0, 0.0, 0.4581056563375418, 0.35345042460962967, 0.0, 0.0, 0.8156052997466499]","[0.0, 0.0, 0.4878826445759585, 0.35186182504330743, 0.0, 0.0, 0.7988515388974111]"
11,22.235217675811874,158.4,"[0.0, 0.0, 0.4878826445759585, 0.35186182504330743, 0.0, 0.0, 0.7988515388974111]","[0.0, 0.0, 0.503357545284177, 0.3558396950946181, 0.0, 0.0, 0.7874066884402602]"
12,22.186316312184474,211.3,"[0.0, 0.0, 0.503357545284177, 0.3558396950946181, 0.0, 0.0, 0.7874066884402602]","[0.0, 0.0, 0.40606899470440433, 0.36187076556021525, 0.0, 0.0, 0.8391409420190497]"
13,22.124072702782463,174.8,"[0.0, 0.0, 0.40606899470440433, 0.36187076556021525, 0.0, 0.0, 0.8391409420190497]","[0.0, 0.0, 0.5412228845328835, 0.3498887307207013, 0.0, 0.0, 0.7646277953178015]"
14,21.972807167541657,224.4,"[0.0, 0.0, 0.5412228845328835, 0.3498887307207013, 0.0, 0.0, 0.7646277953178015]","[0.0, 0.0, 0.2555067283812299, 0.3406971289869068, 0.0, 0.0, 0.9047882503945326]"
15,21.97278089718717,182.5,"[0.0, 0.0, 0.2555067283812299, 0.3406971289869068, 0.0, 0.0, 0.9047882503945326]","[0.0, 0.0, 0.2584211202937937, 0.3407437628550898, 0.0, 0.0, 0.9039425936758677]"
