iteracion,margen,duracion_media_pasos,cayo,aterrizo,llego,tiempo,w_reward_usado,w_reward_siguiente_propuesto
1,26.414257924322726,176.2,2,4,4,0,"[0.0, 0.0, 0.0, 0.0, 0.96143992765127, 0.2270377185798929, 0.15520032171344875]","[0.0, 0.0, 0.7040383901634556, 0.25358367756528, 0.0, 0.11591287800454154, 0.6531381694260582]"
2,26.41406454438346,137.9,10,0,0,0,"[0.0, 0.0, 0.7040383901634556, 0.25358367756528, 0.0, 0.11591287800454154, 0.6531381694260582]","[0.0, 0.0, 0.7039913953206103, 0.2550509621816696, 0.0, 0.12797337008793927, 0.650359853122162]"
3,25.954060255962844,102.3,9,0,1,0,"[0.0, 0.0, 0.7039913953206103, 0.2550509621816696, 0.0, 0.12797337008793927, 0.650359853122162]","[0.0, 0.0, 0.7546600851937193, 0.0, 0.0, 0.0, 0.6561159621708713]"
4,25.601123357390357,177.3,4,0,6,0,"[0.0, 0.0, 0.7546600851937193, 0.0, 0.0, 0.0, 0.6561159621708713]","[0.0, 0.0, 0.6312865006975603, 0.0, 0.0, 0.0, 0.7755497108741832]"
5,25.575680433547983,185.3,6,0,4,0,"[0.0, 0.0, 0.6312865006975603, 0.0, 0.0, 0.0, 0.7755497108741832]","[0.0, 0.0, 0.6722465541865874, 0.0, 0.0, 0.0, 0.7403273400221416]"
6,25.572928575855773,170.8,7,0,3,0,"[0.0, 0.0, 0.6722465541865874, 0.0, 0.0, 0.0, 0.7403273400221416]","[0.0, 0.0, 0.6819377414647009, 0.0, 0.0, 0.0, 0.7314102246797092]"
7,25.037008410123956,212.7,4,1,5,0,"[0.0, 0.0, 0.6819377414647009, 0.0, 0.0, 0.0, 0.7314102246797092]","[0.0, 0.0, 0.6215262086720107, 0.0, 0.0, 0.0, 0.7833933698556532]"
8,25.03312568578952,217.9,7,0,3,0,"[0.0, 0.0, 0.6215262086720107, 0.0, 0.0, 0.0, 0.7833933698556532]","[0.0, 0.0, 0.6324795853120385, 0.0, 0.0, 0.0, 0.7745770291994927]"
9,24.81440058290442,187.1,7,0,3,0,"[0.0, 0.0, 0.6324795853120385, 0.0, 0.0, 0.0, 0.7745770291994927]","[0.0, 0.0, 0.725241996950765, 0.0, 0.0, 0.0, 0.6884940419922795]"
10,24.80860310885706,189.5,6,0,4,0,"[0.0, 0.0, 0.725241996950765, 0.0, 0.0, 0.0, 0.6884940419922795]","[0.0, 0.0, 0.7343668847056287, 0.0, 0.0, 0.0, 0.678752737488218]"
11,24.67213019844106,114.0,10,0,0,0,"[0.0, 0.0, 0.7343668847056287, 0.0, 0.0, 0.0, 0.678752737488218]","[0.0, 0.0, 0.7973726542361795, 0.0, 0.0, 0.0, 0.6034872411877074]"
12,24.4577679847125,218.7,5,0,5,0,"[0.0, 0.0, 0.7973726542361795, 0.0, 0.0, 0.0, 0.6034872411877074]","[0.0, 0.0, 0.6706565295381857, 0.0, 0.0, 0.0, 0.7417680361054906]"
13,24.368614334357144,181.3,7,1,2,0,"[0.0, 0.0, 0.6706565295381857, 0.0, 0.0, 0.0, 0.7417680361054906]","[0.0, 0.0, 0.7781228033336843, 0.0, 0.0, 0.0, 0.6281121738448701]"
14,23.86890879995099,209.0,4,0,6,0,"[0.0, 0.0, 0.7781228033336843, 0.0, 0.0, 0.0, 0.6281121738448701]","[0.0, 0.0, 0.6905491970315337, 0.0, 0.0, 0.0, 0.7232854253191503]"
15,23.866203744539625,198.4,8,0,2,0,"[0.0, 0.0, 0.6905491970315337, 0.0, 0.0, 0.0, 0.7232854253191503]","[0.0, 0.0, 0.7075189870123832, 0.0, 0.0, 0.0, 0.7066943349263322]"
