iteracion,margen,duracion_media_pasos,cayo,aterrizo,llego,tiempo,w_reward_usado,w_reward_siguiente_propuesto
1,24.94118807646343,134.1,7,1,2,0,"[0.0, 0.0, 0.0, 0.0, 0.9460848896598008, 0.28521462845162254, 0.1535447728664365, 0.0]","[0.0, 0.0, 0.4865205155814574, 0.35974211958917873, 0.0, 0.6108168857624491, 0.5096104263752277, 0.032914141473836936]"
2,24.19081591667501,164.2,8,0,2,0,"[0.0, 0.0, 0.4865205155814574, 0.35974211958917873, 0.0, 0.6108168857624491, 0.5096104263752277, 0.032914141473836936]","[0.0, 0.0, 0.21475497059307908, 0.43736487645163924, 0.0, 0.11550231735927115, 0.8638298280213105, 0.055222371891466615]"
3,24.15894720312911,102.1,9,0,1,0,"[0.0, 0.0, 0.21475497059307908, 0.43736487645163924, 0.0, 0.11550231735927115, 0.8638298280213105, 0.055222371891466615]","[0.0, 0.0, 0.2807449942315914, 0.44217897790831356, 0.0, 0.29140067380493984, 0.7987701501770852, 0.05207585046801157]"
4,23.642057430448084,178.4,5,0,5,0,"[0.0, 0.0, 0.2807449942315914, 0.44217897790831356, 0.0, 0.29140067380493984, 0.7987701501770852, 0.05207585046801157]","[0.0, 0.0, 0.08361172149578573, 0.46304351343372807, 0.0, 0.09100005133958608, 0.8759344950939995, 0.0552949876216005]"
5,23.6387212374136,181.2,6,0,4,0,"[0.0, 0.0, 0.08361172149578573, 0.46304351343372807, 0.0, 0.09100005133958608, 0.8759344950939995, 0.0552949876216005]","[0.0, 0.0, 0.10532419660118406, 0.4623369001954455, 0.0, 0.11570723434077546, 0.8710405448925609, 0.05524137400953421]"
6,23.605592311125456,220.2,6,1,3,0,"[0.0, 0.0, 0.10532419660118406, 0.4623369001954455, 0.0, 0.11570723434077546, 0.8710405448925609, 0.05524137400953421]","[0.0, 0.0, 0.23362697281199132, 0.46507947663852195, 0.0, 0.19960638052663648, 0.828621551642807, 0.05160557131227229]"
7,23.458892486373816,208.4,7,1,2,0,"[0.0, 0.0, 0.23362697281199132, 0.46507947663852195, 0.0, 0.19960638052663648, 0.828621551642807, 0.05160557131227229]","[0.0, 0.0, 0.20434418054714057, 0.46154304250151845, 0.0, 0.17741033380443308, 0.8432747898944581, 0.05132911437786627]"
8,23.44897643308068,210.8,5,1,4,0,"[0.0, 0.0, 0.20434418054714057, 0.46154304250151845, 0.0, 0.17741033380443308, 0.8432747898944581, 0.05132911437786627]","[0.0, 0.0, 0.21911771797300267, 0.4611701106664808, 0.0, 0.18472673401622955, 0.838191969363075, 0.051184088671350526]"
9,23.441145800030114,165.2,8,0,2,0,"[0.0, 0.0, 0.21911771797300267, 0.4611701106664808, 0.0, 0.18472673401622955, 0.838191969363075, 0.051184088671350526]","[0.0, 0.0, 0.19329744691430256, 0.4610693999134384, 0.0, 0.14318773458506973, 0.8525675318302446, 0.0517395575276254]"
10,23.4200603850436,203.8,5,0,5,0,"[0.0, 0.0, 0.19329744691430256, 0.4610693999134384, 0.0, 0.14318773458506973, 0.8525675318302446, 0.0517395575276254]","[0.0, 0.0, 0.2373092712683235, 0.45392042061097737, 0.0, 0.216668660768175, 0.8295372545471491, 0.0506280187421385]"
11,23.323004892318426,204.8,9,0,1,0,"[0.0, 0.0, 0.2373092712683235, 0.45392042061097737, 0.0, 0.216668660768175, 0.8295372545471491, 0.0506280187421385]","[0.0, 0.0, 0.03277301686525926, 0.44286873418377454, 0.0, 0.07135778315740744, 0.8915037165291348, 0.05405926234801257]"
12,23.107760688133926,203.2,5,0,5,0,"[0.0, 0.0, 0.03277301686525926, 0.44286873418377454, 0.0, 0.07135778315740744, 0.8915037165291348, 0.05405926234801257]","[0.0, 0.0, 0.2788367119805018, 0.4349922328643679, 0.0, 0.269016951631086, 0.8112131593885704, 0.05094050617638253]"
13,23.082066879308805,186.1,7,1,2,0,"[0.0, 0.0, 0.2788367119805018, 0.4349922328643679, 0.0, 0.269016951631086, 0.8112131593885704, 0.05094050617638253]","[0.0, 0.0, 0.3662137969316157, 0.41674689165160217, 0.0, 0.3442992776453964, 0.7558942706916165, 0.04786796615800993]"
14,22.440785439296093,198.6,7,0,3,0,"[0.0, 0.0, 0.3662137969316157, 0.41674689165160217, 0.0, 0.3442992776453964, 0.7558942706916165, 0.04786796615800993]","[0.0, 0.0, 0.026479588454754868, 0.4076890188161993, 0.0, 0.011291273090375841, 0.9110991180133311, 0.05347335447940655]"
15,22.261135017182802,174.0,7,0,3,0,"[0.0, 0.0, 0.026479588454754868, 0.4076890188161993, 0.0, 0.011291273090375841, 0.9110991180133311, 0.05347335447940655]","[0.0, 0.0, 0.180703531660351, 0.4111463666049887, 0.0, 0.16092612855993677, 0.8771898053723263, 0.05427453703684534]"
