iteracion,margen,duracion_media_pasos,cayo,aterrizo,llego,tiempo,w_reward_usado,w_reward_siguiente_propuesto
1,25.85184117111222,144.6,7,1,2,0,"[0.0, 0.0, 0.0, 0.0, 0.951002675992017, 0.2731047224463333, 0.14494040442034786, 0.0]","[0.0, 0.0, 0.3646515761210219, 0.27305372445131554, 0.0, 0.49173375524848073, 0.43008117016283975, 0.6047305123906922]"
2,25.42342554023963,147.7,8,1,1,0,"[0.0, 0.0, 0.3646515761210219, 0.27305372445131554, 0.0, 0.49173375524848073, 0.43008117016283975, 0.6047305123906922]","[0.0, 0.0, 0.21494436434770184, 0.23832430915430633, 0.0, 0.05009848896094652, 0.5559289288309004, 0.7651363351678201]"
3,25.397665153219517,121.0,9,0,1,0,"[0.0, 0.0, 0.21494436434770184, 0.23832430915430633, 0.0, 0.05009848896094652, 0.5559289288309004, 0.7651363351678201]","[0.0, 0.0, 0.29646000245994747, 0.26496294125768255, 0.0, 0.1699087895847946, 0.5330171275728662, 0.7272756366312065]"
4,24.51003714800416,171.0,5,0,5,0,"[0.0, 0.0, 0.29646000245994747, 0.26496294125768255, 0.0, 0.1699087895847946, 0.5330171275728662, 0.7272756366312065]","[0.0, 0.0, 0.062441054024114345, 0.25561755467828473, 0.0, 0.0, 0.5941875670579947, 0.7600670468230766]"
5,24.50973056065514,209.1,6,1,3,0,"[0.0, 0.0, 0.062441054024114345, 0.25561755467828473, 0.0, 0.0, 0.5941875670579947, 0.7600670468230766]","[0.0, 0.0, 0.0679319922191827, 0.2557604063295263, 0.0, 0.0, 0.5932616778769736, 0.760271294045676]"
6,24.37369186582647,186.5,6,0,4,0,"[0.0, 0.0, 0.0679319922191827, 0.2557604063295263, 0.0, 0.0, 0.5932616778769736, 0.760271294045676]","[0.0, 0.0, 0.26943185254092666, 0.29563584186256014, 0.0, 0.09851144039504084, 0.5737527387447803, 0.7078906813461651]"
7,23.91264260069866,236.7,7,1,2,0,"[0.0, 0.0, 0.26943185254092666, 0.29563584186256014, 0.0, 0.09851144039504084, 0.5737527387447803, 0.7078906813461651]","[0.0, 0.0, 0.180325676434891, 0.28984553645024314, 0.0, 0.05322600727139699, 0.6003148088816911, 0.7212914374962823]"
8,23.900923607195825,195.6,8,0,2,0,"[0.0, 0.0, 0.180325676434891, 0.28984553645024314, 0.0, 0.05322600727139699, 0.6003148088816911, 0.7212914374962823]","[0.0, 0.0, 0.1878768066866078, 0.2895088204084642, 0.0, 0.05788867130982544, 0.5958807669007753, 0.7228153026788167]"
9,23.886111802649577,208.2,8,0,2,0,"[0.0, 0.0, 0.1878768066866078, 0.2895088204084642, 0.0, 0.05788867130982544, 0.5958807669007753, 0.7228153026788167]","[0.0, 0.0, 0.23545757047746693, 0.298711806730064, 0.0, 0.1128510959875145, 0.5865325489343205, 0.7060985683316]"
10,23.84677737567145,209.2,5,0,5,0,"[0.0, 0.0, 0.23545757047746693, 0.298711806730064, 0.0, 0.1128510959875145, 0.5865325489343205, 0.7060985683316]","[0.0, 0.0, 0.2881263284903821, 0.29696446161262335, 0.0, 0.18554575513715588, 0.5673293538320232, 0.6873903580942192]"
11,23.248795733250454,148.4,9,0,1,0,"[0.0, 0.0, 0.2881263284903821, 0.29696446161262335, 0.0, 0.18554575513715588, 0.5673293538320232, 0.6873903580942192]","[0.0, 0.0, 0.09206731213054804, 0.22586320678629093, 0.0, 0.0, 0.6849359603032793, 0.6865654754942851]"
12,23.01946834339535,190.2,5,0,5,0,"[0.0, 0.0, 0.09206731213054804, 0.22586320678629093, 0.0, 0.0, 0.6849359603032793, 0.6865654754942851]","[0.0, 0.0, 0.2443301810800121, 0.2367917539488671, 0.0, 0.0, 0.6513241977045172, 0.6782397934062809]"
13,22.937726576671967,182.7,7,1,2,0,"[0.0, 0.0, 0.2443301810800121, 0.2367917539488671, 0.0, 0.0, 0.6513241977045172, 0.6782397934062809]","[0.0, 0.0, 0.39083402170277914, 0.23898664902322964, 0.0, 0.0, 0.6074585568560693, 0.6489439504075993]"
14,22.256500030179957,203.3,4,1,5,0,"[0.0, 0.0, 0.39083402170277914, 0.23898664902322964, 0.0, 0.0, 0.6074585568560693, 0.6489439504075993]","[0.0, 0.0, 0.04542370336316511, 0.16694894391484244, 0.0, 0.0, 0.6865616758421516, 0.7061853882397386]"
15,22.128250289423548,188.9,6,0,4,0,"[0.0, 0.0, 0.04542370336316511, 0.16694894391484244, 0.0, 0.0, 0.6865616758421516, 0.7061853882397386]","[0.0, 0.0, 0.202307849092542, 0.17981755249371076, 0.0, 0.0, 0.6586820288119054, 0.702050686867375]"
