iteracion,margen,duracion_media_pasos,cayo,aterrizo,llego,tiempo,w_reward_usado,w_reward_siguiente_propuesto
1,25.745562214684085,189.1,6,2,2,0,"[0.0, 0.0, 0.0, 0.0, 0.952232546849242, 0.2634079772540553, 0.15449729525119, 0.0]","[0.0, 0.0, 0.380371051849701, 0.25779537000487435, 0.0, 0.49144663370829655, 0.43130007327930475, 0.6010988796569596]"
2,25.317858037890954,160.9,9,0,1,0,"[0.0, 0.0, 0.380371051849701, 0.25779537000487435, 0.0, 0.49144663370829655, 0.43130007327930475, 0.6010988796569596]","[0.0, 0.0, 0.17922276108158086, 0.21911745262831128, 0.0, 0.052691669781233345, 0.5651759646682144, 0.7730889087039038]"
3,25.254885990937705,136.6,9,0,1,0,"[0.0, 0.0, 0.17922276108158086, 0.21911745262831128, 0.0, 0.052691669781233345, 0.5651759646682144, 0.7730889087039038]","[0.0, 0.0, 0.3187776592989102, 0.2564041823635924, 0.0, 0.22891313362846588, 0.5249880255674914, 0.710368953052925]"
4,24.467366003577222,167.0,4,0,6,0,"[0.0, 0.0, 0.3187776592989102, 0.2564041823635924, 0.0, 0.22891313362846588, 0.5249880255674914, 0.710368953052925]","[0.0, 0.0, 0.2378421553929954, 0.2617591565205412, 0.0, 0.06619544760600084, 0.578029600898383, 0.73240234591184]"
5,24.46428195026101,180.8,6,0,4,0,"[0.0, 0.0, 0.2378421553929954, 0.2617591565205412, 0.0, 0.06619544760600084, 0.578029600898383, 0.73240234591184]","[0.0, 0.0, 0.2509969444090244, 0.2610788717579393, 0.0, 0.08483872561050425, 0.5727925867326487, 0.7304446589850878]"
6,24.46392559862878,169.5,6,0,4,0,"[0.0, 0.0, 0.2509969444090244, 0.2610788717579393, 0.0, 0.08483872561050425, 0.5727925867326487, 0.7304446589850878]","[0.0, 0.0, 0.2560774776546542, 0.2624103595076802, 0.0, 0.0935897644843146, 0.5709728010715971, 0.7285575784255526]"
7,24.397416551567975,216.7,5,1,4,0,"[0.0, 0.0, 0.2560774776546542, 0.2624103595076802, 0.0, 0.0935897644843146, 0.5709728010715971, 0.7285575784255526]","[0.0, 0.0, 0.24370863559090764, 0.26074960481144444, 0.0, 0.08551272769174535, 0.5788432193281131, 0.7281784433568994]"
8,24.31661536617343,225.4,6,0,4,0,"[0.0, 0.0, 0.24370863559090764, 0.26074960481144444, 0.0, 0.08551272769174535, 0.5788432193281131, 0.7281784433568994]","[0.0, 0.0, 0.31060071774279635, 0.26299099052780517, 0.0, 0.11188516571730961, 0.5624160491239903, 0.7110083195146419]"
9,24.30341544710065,182.8,8,0,2,0,"[0.0, 0.0, 0.31060071774279635, 0.26299099052780517, 0.0, 0.11188516571730961, 0.5624160491239903, 0.7110083195146419]","[0.0, 0.0, 0.35876798812540744, 0.2673881232508166, 0.0, 0.16040149637838352, 0.5453549721654074, 0.6903973033948616]"
10,24.29719984192658,207.7,5,0,5,0,"[0.0, 0.0, 0.35876798812540744, 0.2673881232508166, 0.0, 0.16040149637838352, 0.5453549721654074, 0.6903973033948616]","[0.0, 0.0, 0.33999377597535513, 0.2681506330054685, 0.0, 0.12990538632457496, 0.5537932323322626, 0.6992403855210553]"
11,24.10086245787628,149.5,10,0,0,0,"[0.0, 0.0, 0.33999377597535513, 0.2681506330054685, 0.0, 0.12990538632457496, 0.5537932323322626, 0.6992403855210553]","[0.0, 0.0, 0.2045255332649291, 0.2273238863835761, 0.0, 0.0, 0.6343565374873064, 0.7099893944766209]"
12,24.020321885363888,200.8,4,0,6,0,"[0.0, 0.0, 0.2045255332649291, 0.2273238863835761, 0.0, 0.0, 0.6343565374873064, 0.7099893944766209]","[0.0, 0.0, 0.3204378372501431, 0.2350574991072413, 0.0, 0.0, 0.6053967358289291, 0.6896102934408519]"
13,23.99835124705686,177.7,7,1,2,0,"[0.0, 0.0, 0.3204378372501431, 0.2350574991072413, 0.0, 0.0, 0.6053967358289291, 0.6896102934408519]","[0.0, 0.0, 0.38876395951882603, 0.23469839928689099, 0.0, 0.0, 0.5796841505683062, 0.6765689401172041]"
14,23.632428631367528,203.1,6,0,4,0,"[0.0, 0.0, 0.38876395951882603, 0.23469839928689099, 0.0, 0.0, 0.5796841505683062, 0.6765689401172041]","[0.0, 0.0, 0.025328070707453767, 0.16312082524234858, 0.0, 0.0, 0.6448552221448358, 0.7462652528953949]"
15,23.591707374300128,174.2,6,0,4,0,"[0.0, 0.0, 0.025328070707453767, 0.16312082524234858, 0.0, 0.0, 0.6448552221448358, 0.7462652528953949]","[0.0, 0.0, 0.12297928437784143, 0.1731995881883921, 0.0, 0.0, 0.6303704044040227, 0.7466666937240434]"
