iteracion,margen,duracion_media_pasos,cayo,aterrizo,llego,tiempo,w_reward_usado,w_reward_siguiente_propuesto
1,28.527550509514185,112.6,9,0,1,0,"[-0.055448889827036885, -0.9357831060235945, -0.03770518970148947, -0.010947422580245858, 0.329274276748504, 0.09107074002500254, 0.054575110529027214, 0.0]","[-0.052061271570367114, -0.8670436949595505, 0.051129626573917036, 0.06714011119163536, 0.2521270823433312, 0.3931701399192956, 0.11075640907631698, 0.08935891148818381]"
2,24.866078877313587,133.6,8,0,2,0,"[-0.052061271570367114, -0.8670436949595505, 0.051129626573917036, 0.06714011119163536, 0.2521270823433312, 0.3931701399192956, 0.11075640907631698, 0.08935891148818381]","[-0.047315223491059676, -0.817552084799455, 0.1578132284153419, 0.10510538093930351, -0.1871347489812009, 0.38026577286013535, 0.13928954913043634, 0.30723712555394955]"
3,24.238625999843773,100.2,10,0,0,0,"[-0.047315223491059676, -0.817552084799455, 0.1578132284153419, 0.10510538093930351, -0.1871347489812009, 0.38026577286013535, 0.13928954913043634, 0.30723712555394955]","[-0.051080818942279414, -0.9056471941377605, 0.11818513974308599, 0.057607855030064485, -0.18748484477719668, 0.18678436427490033, 0.1275715274658181, 0.27128224617667107]"
4,23.321303628618566,159.1,8,0,2,0,"[-0.051080818942279414, -0.9056471941377605, 0.11818513974308599, 0.057607855030064485, -0.18748484477719668, 0.18678436427490033, 0.1275715274658181, 0.27128224617667107]","[-0.059094355456406004, -0.8231344988940013, 0.1098785476175609, 0.04263762791544485, -0.43288360783763835, 0.10019819259301274, 0.14203712894612874, 0.29574270846500506]"
5,22.628508760619393,186.3,6,0,4,0,"[-0.059094355456406004, -0.8231344988940013, 0.1098785476175609, 0.04263762791544485, -0.43288360783763835, 0.10019819259301274, 0.14203712894612874, 0.29574270846500506]","[-0.07687009412470525, -0.6984591265183263, 0.09375458032373347, 0.011571964586447657, -0.6014777807836225, -0.010532050597100955, 0.15266270057829046, 0.3348576720077028]"
6,22.62847495923131,138.0,9,0,1,0,"[-0.07687009412470525, -0.6984591265183263, 0.09375458032373347, 0.011571964586447657, -0.6014777807836225, -0.010532050597100955, 0.15266270057829046, 0.3348576720077028]","[-0.0769423962414438, -0.6983675023387197, 0.09349211233758757, 0.011048252712919036, -0.6017730067755046, -0.012099261202504395, 0.152487207550363, 0.3346197365796957]"
7,22.443510814103607,233.1,6,1,3,0,"[-0.0769423962414438, -0.6983675023387197, 0.09349211233758757, 0.011048252712919036, -0.6017730067755046, -0.012099261202504395, 0.152487207550363, 0.3346197365796957]","[-0.0712014182415264, -0.7792410137718082, 0.09897376743981597, 0.018892826350064684, -0.5079400899736864, 0.0076676564880045995, 0.14450865577663322, 0.3140324432517941]"
8,22.337861423970647,89.8,10,0,0,0,"[-0.0712014182415264, -0.7792410137718082, 0.09897376743981597, 0.018892826350064684, -0.5079400899736864, 0.0076676564880045995, 0.14450865577663322, 0.3140324432517941]","[-0.07807161019399436, -0.791203260864182, 0.07810009767794951, -0.00652478429481802, -0.5011822196155524, -0.07749274858236058, 0.15132929442784065, 0.2857809071973741]"
9,22.179056996714305,203.9,5,0,5,0,"[-0.07807161019399436, -0.791203260864182, 0.07810009767794951, -0.00652478429481802, -0.5011822196155524, -0.07749274858236058, 0.15132929442784065, 0.2857809071973741]","[-0.0720599623524759, -0.8538490388903502, 0.07955127045313741, 0.0012453378553885202, -0.40311518908866134, -0.06220377667082203, 0.14029142407399234, 0.2708622822393205]"
10,21.924805892622313,75.9,10,0,0,0,"[-0.0720599623524759, -0.8538490388903502, 0.07955127045313741, 0.0012453378553885202, -0.40311518908866134, -0.06220377667082203, 0.14029142407399234, 0.2708622822393205]","[-0.06699166958116433, -0.8319423448202212, 0.10529811709197547, 0.02703164043012384, -0.40921427166005364, 0.07673636737906914, 0.1431321855975, 0.31262443169333487]"
